scenario,number_extend,count,mean,std,min,percentile25,percentile50,percentile75,max
remote,100000,100000,45.02,24.27334042623549,27,36,38,40,1064
remote,100000,100000,38.82,410.4095811333971,27,38,40,42,10726
remote,100000,100000,42.09,47.763915527933875,27,36,38,40,1109
remote,100000,100000,53.67,228.868033343936,29,39,41,43,7057
remote,100000,100000,58.51,234.2062353050989,30,40,42,45,7061
remote,100000,100000,42.68,51.005124252418945,27,37,39,41,2032
remote,100000,100000,46.86,140.08527248388344,27,39,41,44,7068
remote,100000,100000,45.64,717.2300118776801,27,37,39,41,20182
remote,100000,100000,38.78,36.235528898752875,30,40,42,45,1078
remote,100000,100000,60.13,210.7415315791068,26,36,38,40,9311
remote,100000,100000,54.58,21.99768804319738,27,36,38,40,1065
remote,100000,100000,54.60,685.1751660855268,27,39,42,44,18633
remote,100000,100000,48.78,235.47520722065548,31,41,43,46,7062
remote,100000,100000,47.40,195.50745571348023,30,40,43,45,7060
remote,100000,100000,64.39,228.79550880068743,30,39,41,44,7058
remote,100000,100000,68.66,184.06934098923125,30,39,41,43,7060
remote,100000,100000,59.94,136.65067428990594,30,39,41,44,7061
remote,100000,100000,51.12,255.51422824366665,31,41,43,45,7061
remote,100000,100000,66.24,406.12965537130975,28,40,43,46,12769
remote,100000,100000,42.04,201.285787033321,30,40,42,44,7055
remote,100000,100000,59.39,342.15897607718557,30,41,43,46,7065
remote,100000,100000,41.11,40.88223889561613,27,37,39,41,1074
remote,100000,100000,62.74,282.06858758045803,27,39,41,44,7065
remote,100000,100000,70.25,346.66170557621876,30,41,44,46,7063
remote,100000,100000,61.45,275.4659925744944,28,40,43,46,7065
remote,100000,100000,42.94,96.67587043973083,28,37,40,42,5696
remote,100000,100000,38.81,17.458582921424536,27,36,38,40,1094
remote,100000,100000,39.86,26.289879548622523,27,37,39,41,1076
remote,100000,100000,40.82,21.39633775696755,27,37,40,42,1741
remote,100000,100000,48.77,131.76974848730742,26,37,39,41,6069
remote,100000,100000,51.04,208.25459603913785,28,38,40,43,7062
remote,100000,100000,64.94,297.26863544994865,30,42,44,46,7064
remote,100000,100000,54.10,204.86220182637794,28,39,42,44,7064
remote,100000,100000,47.09,131.54752998741807,30,40,42,44,7055
remote,100000,100000,38.82,19.280962545101655,27,36,38,40,1060
remote with mTLS,100000,100000,74.45,311.53450115561463,39,50,53,56,7256
remote with mTLS,100000,100000,60.35,202.48190338675425,38,48,50,52,7068
remote with mTLS,100000,100000,64.46,209.09481867202717,39,51,53,56,7073
remote with mTLS,100000,100000,56.23,90.39522879977555,36,46,48,50,3083
remote with mTLS,100000,100000,63.73,159.39649015221764,37,49,52,54,7061
remote with mTLS,100000,100000,64.75,206.90453626277878,39,49,52,54,7068
remote with mTLS,100000,100000,67.37,397.854661547075,36,46,48,50,14509
remote with mTLS,100000,100000,63.97,212.5762012304092,39,49,52,55,7067
remote with mTLS,100000,100000,77.57,333.18166473590134,37,50,52,55,10882
remote with mTLS,100000,100000,69.86,283.44899796914973,36,48,50,53,7072
remote with mTLS,100000,100000,85.04,484.340291053454,37,48,50,53,14562
remote with mTLS,100000,100000,50.56,43.187639652192416,36,46,48,50,1320
remote with mTLS,100000,100000,49.50,36.4485414621998,36,45,47,50,1080
remote with mTLS,100000,100000,71.26,256.1933042965236,39,49,52,54,7070
remote with mTLS,100000,100000,54.51,49.14440947584186,39,48,51,53,1079
remote with mTLS,100000,100000,59.28,160.4009112634429,36,48,50,53,7067
remote with mTLS,100000,100000,59.95,168.27088289532887,35,46,48,51,7060
remote with mTLS,100000,100000,61.83,153.25083978643494,38,48,51,53,7061
remote with mTLS,100000,100000,59.63,82.48033137051598,37,48,50,53,3085
remote with mTLS,100000,100000,73.64,313.309413012521,39,49,51,53,7120
remote with mTLS,100000,100000,75.91,283.8421794934524,38,51,53,56,7074
remote with mTLS,100000,100000,78.20,246.64122690750585,39,50,52,55,7078
remote with mTLS,100000,100000,69.39,224.67972084615383,38,50,53,55,7067
remote with mTLS,100000,100000,69.37,283.73990032730427,39,48,50,53,7079
remote with mTLS,100000,100000,69.76,284.8842493668369,39,49,51,54,7076
remote with mTLS,100000,100000,77.33,423.88552339769683,37,47,50,52,13760
remote with mTLS,100000,100000,66.52,246.00558832519673,40,49,51,53,7072
remote with mTLS,100000,100000,60.25,269.91003196419484,36,45,47,50,11004
remote with mTLS,100000,100000,88.17,382.8325421973606,37,48,51,54,10892
remote with mTLS,100000,100000,61.64,204.16091145896343,39,49,51,54,7074
